,Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Cost
120,0.45,9.0,5.0,653.0,5.6,22.6,406.91
121,0.16,20.0,11.0,2797.0,3.03,14.31,184.31
122,0.47,22.0,18.0,18959.0,111.06,92.24,1394.04
123,0.46,12.0,8.0,1448.0,9.85,15.31,371.58
124,0.65,4.0,4.0,78.0,4.63,13.77,231.13
125,0.32,35.0,11.0,491.0,3.35,15.16,157.6
126,0.45,13.0,7.0,3130.0,6.21,16.02,164.69
127,0.29,42.0,18.0,14120.0,12.59,72.17,655.89
128,0.95,44.0,15.0,11196.0,61.12,57.31,7178.95
129,0.86,34.0,11.0,1793759.0,1332.42,25.62,84932.99
130,0.48,18.0,9.0,837.0,3.12,10.98,182.24
131,0.58,34.0,8.0,463.0,3.78,13.34,297.34
132,0.45,5.0,3.0,701.0,6.7,24.16,253.49
133,0.62,28.0,7.0,251.0,3.03,13.03,290.28
134,0.87,26.0,8.0,314113.0,1846.84,60.7,8745.47
135,0.25,19.0,11.0,8648.0,17.04,74.41,527.23
136,0.21,27.0,10.0,23049.0,16.67,77.67,730.8
137,0.16,29.0,9.0,1374.0,6.49,21.95,198.87
138,0.47,11.0,7.0,1318.0,4.15,13.13,179.33
139,0.84,4.0,4.0,43.0,3.39,15.75,214.77
140,0.55,35.0,18.0,59797.0,238.2,87.86,1756.36
141,0.57,7.0,5.0,221082.0,41.61,28.46,537.6
142,0.54,35.0,8.0,278714.0,378.41,92.17,3673.54
143,0.1,7.0,5.0,2666.0,5.12,14.13,226.23
144,0.34,8.0,8.0,5153.0,8.92,97.79,648.1
145,0.33,28.0,8.0,1374.0,8.71,24.06,357.42
146,0.25,14.0,7.0,5648.0,10.24,79.85,480.86
147,0.35,32.0,20.0,91529.0,456.3,99.59,2166.06
148,0.65,31.0,12.0,4475.0,27.1,24.77,569.38
149,0.45,30.0,8.0,10547.0,38.22,33.93,579.35
150,0.22,16.0,7.0,3330.0,11.22,20.81,205.17
151,0.58,15.0,6.0,44125.0,86.41,88.26,3280.77
152,0.28,3.0,3.0,221082.0,6.08,13.82,223.93
153,0.74,19.0,7.0,929.0,9.38,10.47,941.39
154,0.45,3.0,2.0,85.0,5.64,14.19,256.53
155,0.74,23.0,7.0,1404.0,5.49,17.91,476.36
156,0.37,23.0,10.0,444173.0,2359.05,65.95,6102.69
157,0.13,31.0,12.0,338703.0,179.03,25.76,655.22
158,0.27,14.0,6.0,335.0,4.15,21.65,177.7
159,0.45,36.0,15.0,110410.0,188.57,33.45,651.66
160,0.43,4.0,3.0,32.0,4.16,22.2,161.78
161,0.45,20.0,6.0,182.0,4.01,16.92,115.86
162,0.17,14.0,6.0,393.0,6.33,22.54,174.99
163,0.5,30.0,20.0,870.0,6.41,16.11,475.08
164,0.43,15.0,8.0,163.0,3.19,13.89,182.93
165,0.12,24.0,8.0,301767.0,715.93,52.35,1933.07
166,0.64,12.0,8.0,285.0,3.62,21.02,248.57
167,0.41,16.0,6.0,127.0,5.18,20.07,197.47
168,0.78,16.0,7.0,267.0,3.19,11.17,302.53
169,0.42,10.0,4.0,57.0,6.92,24.71,237.86
170,0.45,41.0,18.0,28778.0,97.34,87.21,1312.68
171,0.25,37.0,8.0,13611.0,32.43,69.33,604.6
172,0.81,25.0,7.0,220.0,3.2,20.51,567.81
173,0.45,14.0,8.0,150.0,6.42,13.76,326.91
174,0.67,22.0,8.0,241688.0,661.51,78.79,17963.1
175,0.76,16.0,6.0,664.0,6.19,16.64,588.97
176,0.69,13.0,6.0,1328.0,6.36,11.62,345.16
177,0.52,6.0,5.0,5741.0,30.53,81.56,661.2
178,0.18,20.0,6.0,157.0,4.98,10.66,141.17
179,0.71,45.0,8.0,832.0,4.33,10.78,404.9
180,0.45,13.0,6.0,879.0,7.08,14.91,352.88
181,0.41,16.0,8.0,59337.0,48.13,54.25,673.15
182,0.8,20.0,20.0,2583679.0,21161.39,74.42,115787.86
183,0.11,7.0,4.0,442.0,3.43,12.0,123.57
184,0.81,33.0,16.0,98883.0,259.2,60.9,5585.99
185,0.17,27.0,7.0,210.0,3.62,11.65,120.85
186,0.74,21.0,12.0,3232.0,1906.22,61.53,3571.53
187,0.31,3.0,2.0,17.0,5.02,21.44,176.03
188,0.96,10.0,4.0,254.0,6.16,16.25,615.1
189,0.5,29.0,20.0,1432756.0,4745.6,59.41,20464.18
190,0.81,46.0,10.0,55040.0,206.75,73.21,4959.93
191,0.59,39.0,6.0,14966.0,57.19,93.12,1636.4
192,0.66,8.0,4.0,92.0,6.91,10.71,304.57
193,0.74,24.0,12.0,3232.0,3.28,23.23,431.32
194,0.31,5.0,5.0,349.0,5.81,13.32,172.58
195,0.22,36.0,10.0,3003.0,5.54,11.85,174.92
196,0.44,33.0,11.0,1235.0,6.27,15.94,261.53
197,0.44,27.0,7.0,204525.0,276.87,78.71,1411.3
198,0.26,4.0,3.0,14.0,6.59,17.56,157.16
199,0.18,11.0,7.0,8066.0,6.26,17.66,157.55
200,1.0,43.0,13.0,43735.0,115.44,86.23,7401.55
201,0.89,7.0,5.0,403.0,5.54,16.9,398.86
202,0.08,20.0,10.0,242733.0,252.32,53.8,873.43
203,0.36,9.0,8.0,5982.5,5.74,18.18,206.32
204,0.35,6.0,4.0,2091.0,9.62,11.95,268.72
205,0.82,10.0,4.0,65.0,3.07,18.17,290.64
206,0.27,58.0,27.0,24675.0,56.86,29.79,818.83
207,0.35,44.0,8.0,7940489.0,16980.47,69.04,21723.31
208,0.15,18.0,12.0,753.0,4.41,19.31,146.3
209,0.37,30.0,8.0,25238.0,89.21,48.93,1244.76
210,0.12,23.0,6.0,128.0,6.45,23.83,172.25
211,0.19,7.0,4.0,105.0,4.56,21.18,165.26
212,0.89,50.0,11.0,97829.0,1005.56,36.74,4719.74
213,0.43,42.0,18.0,10374.0,17.87,45.38,867.52
214,0.1,20.0,10.0,717.0,5.93,19.12,129.89
215,0.63,19.0,6.0,2240.0,10.21,17.03,282.95
216,0.26,15.0,8.0,4722.0,6.31,14.58,350.94
217,0.16,9.0,4.0,115395.0,10.81,14.97,184.73
218,0.58,3.0,2.0,36.0,4.39,11.99,161.67
219,0.45,10.0,4.0,5240.0,5.35,28.4,567.72
220,0.54,10.0,4.0,71.0,6.19,23.35,262.19
221,0.45,4.0,8.0,115395.0,4.68,12.05,217.65
222,0.42,42.0,9.0,2202536.0,8910.21,96.97,84990.55
223,0.72,12.0,7.0,337.0,6.28,20.26,533.03
224,0.46,40.0,8.0,4835604.0,24069.16,40.12,47523.2
225,0.3,20.0,9.0,301.0,3.15,18.48,223.42
226,0.45,22.0,13.0,715.0,3.06,22.82,490.22
227,0.77,20.0,8.0,219.0,3.28,11.15,267.38
228,0.42,20.0,9.0,331.0,5.96,15.33,198.53
229,0.42,20.0,8.0,54822.0,47.39,38.87,836.99
230,0.0,6.0,4.0,79.0,3.8,18.51,149.96
231,0.15,46.0,19.0,3192344.0,2802.14,70.93,5888.11
232,0.64,42.0,24.0,6497.0,25.95,72.47,1834.32
233,0.6,15.0,7.0,329.0,5.1,15.44,248.06
234,0.09,20.0,11.0,251.0,6.06,12.12,112.56
235,0.68,23.0,17.0,252208.0,1904.42,47.69,4937.71
236,0.41,36.0,11.0,2000665.0,8564.29,51.78,108848.19
237,0.76,24.0,12.0,403462.0,2227.26,89.85,8114.24
238,0.18,11.0,8.0,2065.0,5.36,14.94,155.85
239,0.24,28.0,11.0,896.0,3.83,15.43,154.19
240,0.07,38.0,21.0,12953.0,7.08,53.85,475.45
241,0.13,9.0,5.0,5982.5,4.3,12.91,184.48
242,0.06,13.0,7.0,39956.0,56.62,59.6,385.65
243,0.59,7.0,5.0,120.0,4.01,13.07,208.95
244,0.4,4.0,3.0,226.0,5.19,20.8,284.86
245,0.05,23.0,10.0,151.0,6.26,18.06,120.5
246,0.45,51.0,8.0,23972911.0,68090.98,92.93,588183.2
247,0.27,17.0,7.0,5982.5,8.21,22.4,251.1
248,0.37,9.0,8.0,3232.0,4.41,23.94,227.45
249,0.0,31.0,16.0,1641621.0,1181.16,93.14,4385.12
250,0.16,20.0,7.0,26330.0,45.1,40.64,388.38
251,0.63,7.0,5.0,710.0,6.61,12.04,281.72
252,0.45,13.0,8.0,99.0,5.01,16.12,253.75
253,0.1,18.0,15.0,251.0,6.43,19.89,157.66
254,0.58,20.0,16.0,913.0,6.08,20.91,498.1
255,0.45,20.0,17.0,2427691.0,17547.88,48.1,31313.28
256,0.18,17.0,6.0,643.0,6.84,22.08,195.11
257,0.22,11.0,6.0,619.0,3.63,23.25,192.09
258,0.01,28.0,10.0,591.0,5.57,14.65,122.22
259,0.65,14.0,8.0,163.0,3.14,17.36,265.0
260,0.33,31.0,9.0,898942.0,2903.96,96.09,6146.55
261,0.45,7.0,8.0,4113.0,20.84,16.5,310.63
262,0.44,47.0,16.0,3829.0,8.16,14.61,560.24
263,0.45,16.0,8.0,258.0,3.05,17.92,442.52
264,0.62,28.0,9.0,20185.0,25.68,37.38,1122.36
265,0.41,28.0,16.0,251.0,3.13,24.92,326.66
266,0.52,9.0,5.0,441.0,5.28,13.91,225.7
267,0.34,29.0,19.0,51019.0,111.54,94.99,1042.36
268,0.9,38.0,22.0,22025.0,205.8,54.95,4975.88
269,0.45,36.0,23.0,1314125.0,1368.62,90.75,3501.71
270,0.28,7.0,4.0,113.0,5.2,24.77,205.17
271,0.03,3.0,2.0,8066.0,5.96,13.53,127.07
272,0.65,6.0,5.0,4928.0,31.52,16.61,496.11
273,0.58,13.0,6.0,2933.0,6.02,13.8,351.12
274,0.81,9.0,4.0,70.0,6.37,18.8,448.22
275,0.19,23.0,6.0,7533.0,15.25,66.31,450.08
276,0.22,32.0,12.0,11192.0,9.89,82.5,736.66
277,0.82,25.0,8.0,7384.0,21.68,95.46,2670.39
278,0.49,32.0,19.0,30968.0,94.79,91.52,3774.97
279,0.28,23.0,11.0,736707.0,475.61,93.4,5116.85
280,0.45,20.0,16.0,460784.0,2098.62,69.27,4419.69
281,0.08,62.0,17.0,145936.0,139.18,93.05,952.94
282,0.33,8.0,4.0,2548.0,10.14,10.77,207.49
283,0.39,15.0,6.0,30515.0,37.73,72.63,889.79
284,0.54,33.0,16.0,1880789.0,9728.85,91.41,244885.22
285,0.12,19.0,7.0,109618.0,83.45,46.89,566.43
286,0.49,5.0,8.0,35.0,4.55,15.87,155.39
287,0.45,39.0,8.0,717.0,6.48,16.69,133.82
288,0.45,6.0,4.0,3513.0,11.23,12.73,324.3
289,0.96,18.0,7.0,123.0,4.28,22.25,705.98
290,0.72,11.0,7.0,277.0,5.07,15.97,290.65
291,0.64,38.0,20.0,11196264.0,16819.89,75.61,54076.65
292,0.02,36.0,19.0,5073.0,7.5,56.81,247.25
293,0.77,17.0,12.0,15355.0,70.87,60.76,3756.61
294,0.45,33.0,8.0,5995.0,13.32,80.87,1723.86
295,0.48,24.0,8.0,9384.0,48.9,82.37,919.77
296,0.45,15.0,6.0,137.0,5.78,10.81,117.99
297,0.61,37.0,20.0,3232.0,136.35,55.3,1717.0
298,0.41,14.0,7.0,94548.0,448.0,42.33,2331.88
299,0.5,20.0,8.0,398.0,4.54,21.85,280.57
300,0.79,5.0,4.0,1316.0,6.89,12.44,444.31
301,0.41,30.0,12.0,17246.0,8.11,51.54,540.52
302,0.45,3.0,3.0,12.0,6.49,21.38,174.52
303,0.46,26.0,9.0,648821.0,1047.38,93.18,2738.06
304,0.4,39.0,26.0,16388.0,99.83,62.86,1974.93
305,0.34,8.0,4.0,109.0,3.59,21.2,179.24
306,0.31,11.0,8.0,1374.0,3.95,17.95,207.34
307,0.16,34.0,7.0,243265.0,171.37,75.61,1111.3
308,0.31,23.0,8.0,18687.0,41.35,46.94,700.89
309,0.45,36.0,18.0,5284901.0,17380.45,40.97,25961.05
310,0.36,48.0,28.0,2975.0,6.66,12.2,240.33
311,0.27,28.0,13.0,2223.0,6.03,18.1,266.06
312,0.79,35.0,11.0,31917.0,145.44,25.87,1036.57
313,0.46,17.0,10.0,185865.0,678.53,57.85,4639.57
314,0.41,61.0,8.0,8066.0,404.27,72.08,5924.81
315,0.22,28.0,13.0,1690.0,4.3,20.6,193.6
316,0.03,7.0,4.0,46.0,3.73,11.17,96.27
317,0.91,21.0,11.0,814.0,5.11,14.92,574.95
318,0.45,30.0,10.0,646331.0,3765.51,37.27,20476.74
319,0.79,4.0,3.0,40.0,4.89,11.55,177.79
320,0.87,5.0,3.0,144.0,5.98,11.47,270.46
321,0.3,9.0,5.0,311.0,6.87,13.16,167.14
322,0.92,20.0,9.0,518773.0,1404.97,60.79,8782.7
323,0.1,37.0,8.0,221082.0,7976.46,33.73,57662.98
324,0.59,17.0,6.0,5982.5,21.47,19.49,290.32
325,0.5,18.0,6.0,5423.0,42.62,29.65,520.35
326,0.62,15.0,7.0,29259.0,98.68,35.08,5592.07
327,0.96,28.0,11.0,437435.0,864.8,56.54,133988.47
328,0.04,42.0,15.0,4408968.0,3121.58,55.29,28577.57
329,0.45,33.0,8.0,6297.0,21.75,27.38,594.69
330,0.44,23.0,8.0,819.0,5.64,23.82,360.34
331,0.72,9.0,5.0,6949.0,57.9,80.43,1817.12
332,0.82,4.0,3.0,41.0,4.54,13.28,185.59
333,0.53,40.0,25.0,2288.0,5.84,11.46,422.41
334,0.55,3.0,2.0,5.0,6.19,23.19,268.36
335,0.39,36.0,10.0,6152.0,11.69,46.51,722.84
336,0.14,48.0,10.0,1269039.0,1745.31,79.1,2437.61
337,0.75,16.0,8.0,7471.0,62.82,75.3,3170.66
338,0.45,10.0,5.0,58.0,6.55,24.06,319.68
339,0.45,5.0,4.0,63.0,3.63,10.34,174.39
340,0.39,32.0,13.0,731099.0,1707.26,90.63,2595.64
341,0.47,20.0,8.0,696.0,6.22,19.18,361.49
342,0.51,41.0,15.0,1374.0,10.31,98.62,2255.64
343,0.38,34.0,11.0,1828191.0,3961.16,93.73,19503.05
344,0.57,13.0,7.0,467.0,3.63,13.62,211.36
345,0.57,17.0,7.0,3565.0,26.09,20.35,426.22
346,0.39,25.0,9.0,8020.0,5.07,98.51,883.95
347,0.71,7.0,4.0,243.0,6.18,16.18,347.49
348,0.68,42.0,33.0,150750.0,331.59,28.58,3376.33
349,0.66,33.0,8.0,558197.0,1139.14,34.93,5147.2
350,0.9,13.0,7.0,198.0,5.05,17.76,583.83
351,0.3,9.0,4.0,4983.0,19.74,23.88,265.63
352,0.36,30.0,8.0,246282.0,98.89,26.66,2255.45
353,0.44,10.0,4.0,221082.0,12.37,29.65,324.51
354,0.33,16.0,8.0,3563.0,8.48,14.78,240.42
355,0.96,28.0,19.0,62334.0,820.24,77.12,162573.71
356,0.52,32.0,12.0,1764910.0,5471.93,56.5,37268.16
357,0.14,5.0,4.0,1298.0,3.82,16.58,172.61
358,0.22,22.0,13.0,2277.0,7.12,20.36,251.3
359,0.35,14.0,6.0,2851.0,3.61,20.96,236.11
360,0.18,15.0,8.0,161.0,3.89,22.57,158.81
361,0.45,18.0,10.0,144581.0,116.27,60.74,842.57
362,0.45,30.0,7.0,664.0,6.07,20.88,560.19
363,0.22,15.0,8.0,151666.0,366.64,77.7,1623.15
364,0.32,9.0,5.0,834.0,6.94,16.57,196.81
365,0.16,22.0,16.0,484.0,6.28,20.63,150.22
366,0.4,12.0,6.0,858.0,4.99,12.26,172.02
367,0.45,20.0,20.0,12496971.0,63110.87,57.72,360814.49
368,0.35,36.0,17.0,2932282.0,7160.97,96.82,46276.43
369,0.08,23.0,8.0,221082.0,904.76,98.92,1928.69
370,0.59,16.0,6.0,61911.0,193.0,80.23,1506.1
371,0.3,30.0,16.0,1057097.0,5106.21,38.64,33177.08
372,0.45,12.0,8.0,3232.0,6.28,17.98,153.54
373,0.45,22.0,8.0,1562.0,5.77,10.42,177.08
374,0.1,3.0,2.0,14.0,4.22,10.44,126.3
375,0.45,19.0,8.0,203075.0,1187.96,86.05,6881.44
376,0.7,20.0,11.0,115395.0,990.74,49.58,55276.94
377,0.86,18.0,11.0,1856.0,13.73,24.03,958.13
378,0.16,23.0,8.0,664.0,5.99,15.45,134.46
379,0.23,8.0,4.0,195.0,5.89,14.45,146.21
380,0.05,7.0,4.0,4239.0,4.42,18.7,202.47
381,0.19,23.0,7.0,5630.0,7.36,34.62,299.16
382,0.71,30.0,11.0,12261.0,38.44,68.29,2394.62
383,0.74,15.0,6.0,1564.0,9.59,22.97,1378.65
384,0.99,12.0,7.0,433.0,5.35,17.66,615.75
385,0.31,20.0,10.0,25336.0,58.33,93.01,918.76
386,0.34,26.0,12.0,17758.0,44.98,83.89,788.82
387,0.18,15.0,7.0,180.0,3.75,24.08,152.62
388,0.65,17.0,6.0,3232.0,3.35,13.5,257.67
389,0.45,20.0,11.0,335.0,4.89,19.87,568.73
390,0.08,44.0,23.0,3232.0,47.14,79.57,711.91
391,0.45,13.0,7.0,3167.0,6.35,20.4,245.06
392,0.45,23.0,7.0,241.0,3.95,15.46,195.77
393,0.29,15.0,8.0,653.0,5.73,19.16,179.03
394,0.73,35.0,16.0,53094.0,133.16,83.63,2170.31
395,0.12,15.0,6.0,1049.0,4.91,14.65,144.9
396,0.56,21.0,9.0,382.0,3.04,22.96,343.24
397,0.03,11.0,6.0,317.0,4.31,15.61,122.98
398,0.4,18.0,10.0,9019.0,18.3,95.98,786.55
399,0.38,22.0,8.0,13013.0,34.49,81.55,734.73
400,0.1,14.0,6.0,29497.0,20.45,25.84,252.4
401,0.73,24.0,13.0,18538.0,21.29,46.09,1732.64
402,0.05,31.0,10.0,1172970.0,852.79,33.66,4371.51
403,0.75,18.0,14.0,1996.0,13.05,17.95,530.25
404,0.68,6.0,5.0,142.0,6.46,19.95,290.21
405,0.58,10.0,4.0,115395.0,5.79,23.31,349.21
406,0.66,8.0,5.0,731.0,5.22,21.93,308.86
407,0.08,44.0,17.0,4583363.0,6873.24,49.97,29660.32
408,0.59,15.0,6.0,4605.0,11.09,23.94,357.31
409,0.45,4.0,4.0,56.0,6.84,19.52,166.08
410,0.67,10.0,5.0,1079.0,4.77,24.78,338.16
411,0.53,24.0,12.0,1194.0,6.9,24.08,451.44
412,0.5,42.0,18.0,101014.0,597.35,70.97,6266.58
413,0.52,20.0,20.0,3941101.0,11331.66,25.01,144567.29
414,0.45,29.0,13.0,3055.0,5.7,22.77,336.42
415,0.62,24.0,11.0,1270.0,8.19,11.67,452.77
416,0.92,15.0,6.0,1585.0,12.96,13.8,419.29
417,0.07,4.0,3.0,86.0,6.74,14.52,130.11
418,0.75,26.0,8.0,2088.0,4.02,20.7,524.64
419,0.36,15.0,7.0,438.0,5.52,14.46,182.11
420,0.1,47.0,6.0,286454.0,610.39,84.54,2589.41
421,0.08,5.0,4.0,117.0,3.67,22.67,170.99
422,0.01,12.0,7.0,146.0,6.65,21.85,136.0
423,0.45,20.0,8.0,41000.0,32.67,39.23,488.31
424,0.77,44.0,9.0,664.0,17.7,21.5,577.34
425,0.4,19.0,10.0,14551.0,19.49,95.69,834.86
426,0.46,7.0,4.0,2106.0,4.45,12.19,229.54
427,0.23,10.0,5.0,115395.0,8.96,51.03,386.91
428,0.46,38.0,17.0,37228.0,120.2,58.48,1166.06
429,0.55,28.0,13.0,764933.0,1091.27,38.01,5502.32
430,0.02,15.0,8.0,923.0,6.72,13.12,124.04
431,0.45,27.0,13.0,664.0,10.71,17.49,872.08
432,0.9,9.0,4.0,137.0,4.2,15.73,346.45
433,0.45,33.0,23.0,1467936.0,1332.33,45.19,10414.91
434,0.67,8.0,4.0,630.0,3.84,11.21,203.24
435,0.31,28.0,12.0,432381.0,573.32,97.67,4356.41
436,0.14,16.0,8.0,6441.0,12.71,42.22,290.97
437,0.45,45.0,13.0,526.0,4.57,24.8,553.43
438,0.04,13.0,7.0,5982.5,6.28,24.08,191.38
439,0.5,19.0,7.0,3232.0,117.9,59.3,987.24
440,0.46,21.0,8.0,733.0,5.91,15.37,208.69
441,0.99,5.0,5.0,1260.0,11.29,14.5,367.18
442,0.13,29.0,9.0,18323.0,14.34,65.75,432.13
443,0.86,11.0,8.0,25776.0,237.58,50.17,1506.7
444,0.11,51.0,26.0,8108.0,33.89,64.26,538.58
445,0.66,10.0,4.0,266.0,3.77,14.95,218.64
446,0.29,20.0,7.0,488.0,3.48,10.96,145.99
