,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost,scheduled_year,scheduled_month,scheduled_day,scheduled_dateofmonth,delivery_year,delivery_month,delivery_day,delivery_dateofmonth,delta,state
29,0.67,17.0,6.0,182.0,Wood,6.0,11.04,No,No,No,Roadways,No,Wealthy,No,280.22,2016,2,6,7,2016,2,0,8,1 ,CO
30,0.56,20.0,8.0,53954.0,Marble,162.93,99.06,No,Yes,No,Airways,No,Working Class,No,1358.73,2019,3,1,5,2019,3,5,9,4 ,NH
31,0.25,10.0,4.0,4900.0,Marble,25.83,18.35,Yes,Yes,Yes,Airways,No,Wealthy,No,358.92,2017,4,6,30,2017,4,3,27,-3 ,SC
32,0.31,13.0,7.0,449.0,Aluminium,4.91,24.67,No,No,Yes,Airways,No,Working Class,No,214.15,2018,10,0,1,2018,10,0,1,0 ,
33,0.57,6.0,4.0,79.0,Material_NA,4.71,22.24,No,No,No,Roadways,Yes,Wealthy,No,241.48,2017,4,0,10,2017,4,0,10,0 ,
34,0.01,20.0,5.0,88.0,Material_NA,6.51,22.49,Yes,No,No,Waterways,No,Working Class,No,128.38,2018,2,5,3,2018,2,1,6,3 ,WV
35,0.68,8.0,5.0,301.0,Clay,4.38,20.36,Yes,No,No,Waterways,Yes,Working Class,No,280.42,2018,4,6,1,2018,3,5,31,-1 ,OK
36,0.23,16.0,8.0,358.0,Aluminium,3.26,13.82,Yes,No,No,Airways,No,Wealthy,Yes,179.32,2017,10,6,15,2017,10,3,12,-3 ,WV
37,0.52,36.0,17.0,593.0,Wood,3.86,17.0,No,No,Yes,Roadways,No,Working Class,No,288.58,2018,10,5,20,2018,10,2,24,4 ,
38,0.59,22.0,15.0,16046.0,Brass,99.52,89.55,Yes,No,Yes,Waterways,No,Working Class,No,4895.23,2015,6,6,28,2015,6,6,28,0 ,
39,0.01,16.0,7.0,1002.0,Clay,4.15,22.03,No,No,No,Roadways,Yes,Working Class,No,156.3,2015,11,6,1,2015,10,5,31,-1 ,HI
40,0.93,29.0,8.0,7757.0,Bronze,24.29,78.75,Yes,No,No,Airways,No,Working Class,No,2944.95,2017,4,4,7,2017,4,4,7,0 ,
41,0.58,20.0,5.0,71.0,Aluminium,4.28,19.83,No,No,No,Roadways,No,Working Class,Yes,205.19,2016,9,2,14,2016,9,4,16,2 ,RI
42,0.86,49.0,17.0,196893.0,Brass,116.3,81.85,Yes,No,Yes,Waterways,No,Working Class,No,5364.93,2018,1,4,26,2018,1,2,24,-2 ,LA
43,0.27,6.0,5.0,355.0,Material_NA,3.14,15.04,No,No,Yes,Roadways,No,Wealthy,No,181.02,2016,9,6,11,2016,9,6,11,0 ,AR
44,0.17,20.0,7.0,3669.0,Bronze,5.13,11.07,No,No,No,Roadways,No,Working Class,Yes,152.23,2018,9,5,29,2018,9,4,28,-1 ,DE
45,0.54,36.0,8.0,61696.0,Brass,61.6,48.17,No,No,Yes,Roadways,No,Working Class,No,1731.53,2017,5,6,7,2017,5,3,11,4 ,
46,0.07,9.0,4.0,74.0,Clay,6.77,11.75,No,No,Yes,Roadways,Yes,Working Class,Yes,137.87,2015,4,3,2,2015,3,1,31,-2 ,ID
47,0.51,8.0,4.0,215.0,Clay,6.25,23.85,No,No,No,Roadways,Yes,Wealthy,No,263.23,2018,11,1,6,2018,11,4,9,3 ,CT
48,0.59,16.0,8.0,4679.0,Material_NA,10.08,19.77,Yes,No,No,Airways,No,Working Class,No,380.91,2018,8,3,9,2018,8,2,8,-1 ,MS
49,0.29,24.0,12.0,2443.0,Clay,5.18,15.8,No,No,Yes,Airways,Yes,Wealthy,No,300.68,2019,6,6,16,2019,6,2,12,-4 ,CO
50,0.17,47.0,23.0,5624.0,Aluminium,19.82,63.79,No,No,No,Roadways,No,Working Class,No,392.2,2015,7,2,1,2015,7,2,1,0 ,ND
51,0.6,20.0,8.0,160742.0,Marble,554.72,92.44,No,No,Yes,Roadways,No,Working Class,No,5651.15,2017,4,2,12,2017,4,2,12,0 ,
52,0.98,15.0,7.0,3872.0,Brass,5.49,20.04,Yes,Yes,No,Airways,No,Wealthy,Yes,963.88,2019,2,3,28,2019,3,0,4,4 ,WY
53,0.3,22.0,9.0,345055.0,Stone,365.28,54.25,Yes,No,No,Waterways,No,Working Class,No,1297.25,2015,11,6,22,2015,11,4,20,-2 ,IA
54,0.25,15.0,6.0,553.0,Clay,3.03,18.09,Yes,No,No,Waterways,Yes,Wealthy,No,182.92,2015,5,5,16,2015,5,5,16,0 ,FL
55,0.45,39.0,7.0,1073.0,Aluminium,3.6,23.31,No,No,Yes,Roadways,No,Working Class,Yes,269.88,2018,6,1,5,2018,6,4,1,-4 ,
56,0.31,7.0,5.0,415.0,Bronze,5.75,22.0,No,No,Yes,Airways,No,Working Class,No,210.45,2019,1,1,8,2019,1,0,7,-1 ,VA
57,0.12,26.0,8.0,583.0,Wood,3.5,16.83,Yes,No,Yes,Waterways,No,Working Class,No,140.38,2017,4,6,23,2017,4,0,24,1 ,SC
58,0.61,31.0,8.0,507253.0,Stone,1377.26,45.19,Yes,Yes,Yes,Roadways,No,Wealthy,No,12359.84,2019,4,6,21,2019,4,2,17,-4 ,WA
59,0.45,43.0,13.0,1954301.0,Stone,839.18,92.25,No,Yes,No,Airways,No,Wealthy,No,8617.36,2017,7,1,4,2017,7,4,7,3 ,NH
60,0.45,18.0,8.0,5263.0,Brass,7.86,55.05,No,No,Yes,Roadways,No,Working Class,No,383.26,2015,6,3,25,2015,6,1,23,-2 ,VT
61,0.49,7.0,5.0,4736.0,Stone,18.4,23.76,No,Yes,No,Airways,No,Working Class,Yes,323.55,2017,1,1,24,2017,1,5,28,4 ,MA
62,0.68,39.0,15.0,3996.0,Aluminium,11.76,22.39,No,Yes,Yes,Roadways,No,Working Class,No,836.8,2018,12,6,16,2018,12,2,12,-4 ,KS
63,0.18,15.0,7.0,16227.0,Marble,46.61,54.29,Yes,Yes,Yes,Airways,No,Wealthy,Yes,595.73,2016,4,2,27,2016,4,4,29,2 ,KY
64,0.38,44.0,21.0,2663.0,Aluminium,4.43,15.69,No,No,No,Roadways,No,Working Class,Yes,232.86,2015,12,3,24,2015,12,3,24,0 ,WA
65,0.67,34.0,13.0,3151086.0,Stone,10624.83,44.95,Yes,No,Yes,Waterways,No,Working Class,No,24383.58,2017,3,0,27,2017,3,1,28,1 ,WV
66,0.68,15.0,8.0,143739.0,Stone,409.34,72.82,No,No,No,Roadways,No,Working Class,No,4089.47,2018,3,2,7,2018,3,0,5,-2 ,ME
67,0.04,35.0,17.0,557.0,Material_NA,5.58,18.45,Yes,No,No,Waterways,No,Working Class,No,113.86,2017,5,6,28,2017,5,2,31,3 ,
68,0.81,20.0,3.0,495.0,Stone,6.11,20.95,Yes,No,No,Waterways,No,Working Class,Yes,516.72,2018,10,4,12,2018,10,0,8,-4 ,NC
69,0.65,32.0,11.0,2135.0,Aluminium,9.97,14.81,No,Yes,Yes,Airways,No,Working Class,No,1157.2,2018,11,1,13,2018,11,4,9,-4 ,NV
70,0.84,18.0,8.0,10381.0,Brass,26.1,45.79,Yes,Yes,No,Airways,No,Working Class,No,1536.89,2015,9,2,2,2015,8,5,29,-4 ,MD
71,0.69,26.0,12.0,524871.0,Marble,1566.67,59.65,No,No,No,Airways,No,Working Class,No,4300.25,2016,10,0,31,2016,11,2,2,2 ,IA
72,0.36,25.0,24.0,14074.0,Clay,34.08,95.89,No,No,Yes,Airways,Yes,Working Class,No,1165.4,2018,4,2,18,2018,4,5,21,3 ,ME
73,0.22,8.0,4.0,788.0,Brass,4.22,24.47,No,No,No,Roadways,No,Working Class,No,179.2,2016,3,0,14,2016,3,2,16,2 ,NH
74,0.11,17.0,7.0,133437.0,Stone,210.57,94.13,No,No,Yes,Roadways,No,Working Class,No,1050.81,2018,3,1,13,2018,3,6,11,-2 ,SD
75,0.45,25.0,11.0,1849.0,Material_NA,3.13,15.48,No,Yes,Yes,Airways,No,Wealthy,No,556.87,2017,3,0,6,2017,3,5,4,-2 ,WA
76,0.58,10.0,4.0,496.0,Bronze,3.06,18.67,No,No,No,Roadways,No,Working Class,No,215.68,2017,4,1,4,2017,4,2,5,1 ,HI
77,0.17,18.0,6.0,1374.0,Clay,4.71,17.09,No,No,No,Roadways,Yes,Working Class,No,148.42,2016,12,4,16,2016,12,4,16,0 ,
78,0.45,9.0,5.0,1247.0,Brass,6.02,13.52,No,No,Yes,Roadways,No,Working Class,No,244.62,2018,9,1,18,2018,9,5,15,-3 ,NH
79,0.4,14.0,8.0,1374.0,Clay,3.79,10.26,No,Yes,Yes,Roadways,Yes,Wealthy,No,213.96,2019,7,4,26,2019,7,0,29,3 ,ME
80,0.97,30.0,15.0,575.0,Wood,4.58,13.39,No,No,No,Roadways,No,Working Class,No,708.86,2015,11,0,2,2015,10,5,31,-2 ,MD
81,0.87,19.0,11.0,250244.0,Marble,1383.56,95.79,No,No,No,Roadways,No,Working Class,No,4083.76,2017,2,1,21,2017,2,5,25,4 ,NC
82,0.93,30.0,10.0,1016.0,Material_NA,9.89,13.29,Yes,No,No,Waterways,No,Working Class,No,3144.43,2017,11,1,28,2017,11,4,24,-4 ,FL
83,0.38,12.0,8.0,2112.0,Bronze,4.16,17.29,Yes,No,No,Airways,No,Working Class,Yes,251.07,2019,4,2,3,2019,4,0,1,-2 ,NH
84,0.5,16.0,6.0,1171.0,Brass,3.34,18.85,No,No,No,Airways,No,Working Class,Yes,236.89,2019,3,2,6,2019,3,5,9,3 ,ID
85,0.18,15.0,6.0,477.0,Clay,6.35,15.4,Yes,No,No,Airways,Yes,Working Class,Yes,189.24,2016,7,5,2,2016,6,2,29,-3 ,CO
86,0.38,56.0,17.0,50809.0,Bronze,47.18,67.44,No,No,Yes,Waterways,No,Working Class,No,1030.25,2017,12,0,25,2017,12,0,25,0 ,
87,0.88,25.0,17.0,768813.0,Marble,3929.77,55.12,No,No,Yes,Roadways,No,Working Class,Yes,28508.63,2018,3,1,27,2018,3,5,24,-3 ,ND
88,0.22,23.0,13.0,345.0,Wood,6.23,22.3,No,Yes,Yes,Airways,No,Wealthy,No,225.61,2016,10,4,21,2016,10,4,21,0 ,WI
89,0.43,20.0,14.0,2851.0,Aluminium,6.55,22.15,No,Yes,No,Roadways,No,Wealthy,Yes,390.57,2019,6,5,29,2019,6,6,30,1 ,NH
90,0.49,16.0,8.0,944.0,Clay,5.49,16.52,No,No,No,Roadways,Yes,Working Class,No,215.42,2016,5,4,27,2016,5,0,30,3 ,
91,0.88,24.0,15.0,799475.0,Marble,2896.76,54.34,Yes,Yes,No,Airways,No,Working Class,No,20923.0,2015,5,1,12,2015,5,1,12,0 ,OH
92,0.64,10.0,4.0,115395.0,Marble,31.69,91.98,Yes,No,Yes,Waterways,No,Working Class,No,1043.72,2018,7,4,20,2018,7,4,20,0 ,MN
93,0.03,41.0,9.0,494.0,Wood,5.58,18.88,No,Yes,Yes,Airways,No,Wealthy,No,156.01,2019,2,4,8,2019,2,5,9,1 ,VA
94,0.28,37.0,20.0,9467.0,Clay,20.41,27.4,No,Yes,No,Roadways,Yes,Working Class,No,428.22,2016,8,4,26,2016,8,3,25,-1 ,CT
95,0.45,35.0,13.0,8066.0,Brass,88.84,34.46,No,No,No,Roadways,No,Working Class,No,2135.3,2017,3,3,30,2017,4,6,2,3 ,MT
96,0.86,14.0,7.0,3694.0,Brass,8.3,17.02,No,Yes,Yes,Roadways,No,Working Class,Yes,1494.4,2016,10,0,3,2016,10,4,7,4 ,WA
97,0.99,8.0,8.0,149.0,Aluminium,6.92,21.85,No,No,No,Waterways,No,Working Class,No,626.73,2018,1,2,17,2018,1,4,19,2 ,WI
98,0.27,37.0,16.0,7365.0,Clay,28.53,29.16,Yes,No,Yes,Waterways,Yes,Working Class,No,336.53,2015,1,5,10,2015,1,2,14,4 ,MA
99,0.42,24.0,17.0,4848.0,Clay,32.42,23.52,Yes,No,Yes,Airways,Yes,Wealthy,No,552.54,2015,4,5,11,2015,4,6,12,1 ,WY
100,0.3,23.0,10.0,1153.0,Aluminium,3.71,20.65,No,No,No,Roadways,No,Working Class,No,199.1,2019,3,6,17,2019,3,3,14,-3 ,MS
101,0.99,30.0,7.0,1104.0,Aluminium,5.91,14.04,Yes,No,Yes,Waterways,No,Working Class,No,801.86,2015,9,3,24,2015,9,0,28,4 ,IL
102,0.34,23.0,12.0,450.0,Wood,4.95,24.48,No,No,No,Roadways,No,Working Class,No,211.1,2017,12,3,14,2017,12,4,15,1 ,IA
103,0.45,13.0,7.0,51068.0,Stone,153.97,71.73,No,Yes,No,Roadways,No,Wealthy,No,687.11,2019,2,1,26,2019,3,4,1,3 ,NC
104,0.51,29.0,10.0,1996.0,Material_NA,11.45,20.82,Yes,No,Yes,Roadways,No,Working Class,No,330.13,2015,6,5,20,2015,6,0,22,2 ,CA
105,0.36,9.0,5.0,63.0,Wood,4.3,11.28,No,No,No,Roadways,No,Working Class,No,112.03,2016,6,0,27,2016,6,2,29,2 ,CT
106,0.77,10.0,5.0,541.0,Bronze,5.28,23.04,No,No,No,Roadways,No,Working Class,No,420.24,2016,9,2,21,2016,9,5,17,-4 ,AZ
107,0.45,41.0,9.0,19928.0,Bronze,121.37,82.14,No,No,No,Waterways,No,Working Class,No,1310.04,2018,2,4,16,2018,2,4,16,0 ,KY
108,0.79,23.0,8.0,152855.0,Stone,647.77,88.79,No,Yes,No,Roadways,No,Working Class,No,19151.67,2016,11,1,29,2016,11,0,28,-1 ,AK
109,0.18,26.0,6.0,1606.0,Clay,6.56,16.18,No,No,No,Airways,Yes,Working Class,Yes,185.39,2017,12,3,21,2017,12,2,20,-1 ,KS
110,0.87,7.0,5.0,2125.0,Stone,5.22,19.81,No,Yes,Yes,Roadways,No,Working Class,No,523.71,2015,10,2,21,2015,10,2,21,0 ,IL
111,0.32,41.0,12.0,7830.0,Clay,16.23,88.99,No,No,No,Roadways,Yes,Working Class,No,772.7,2019,2,1,26,2019,2,2,27,1 ,AR
112,0.58,28.0,17.0,896.0,Wood,3.32,17.24,No,No,Yes,Roadways,No,Working Class,Yes,344.74,2017,12,6,10,2017,12,2,13,3 ,
113,0.03,7.0,8.0,2168.0,Marble,4.65,17.06,No,No,No,Roadways,No,Working Class,No,171.15,2016,12,5,17,2016,12,6,18,1 ,NY
114,0.4,18.0,9.0,322.0,Wood,5.31,15.7,No,Yes,Yes,Roadways,No,Working Class,No,216.4,2018,1,5,27,2018,1,4,26,-1 ,TX
115,0.57,4.0,3.0,26.0,Wood,3.15,18.99,Yes,Yes,Yes,Airways,No,Wealthy,No,182.64,2016,2,2,10,2016,2,6,14,4 ,NJ
116,0.41,19.0,8.0,664.0,Aluminium,6.43,11.82,Yes,Yes,No,Airways,No,Working Class,No,196.34,2018,1,1,9,2018,1,4,12,3 ,NY
117,0.48,24.0,6.0,59036.0,Stone,319.06,70.13,No,No,Yes,Airways,No,Working Class,No,1964.21,2018,5,0,7,2018,5,0,7,0 ,NJ
118,0.69,25.0,14.0,1695010.0,Stone,7351.07,75.19,Yes,Yes,No,Airways,No,Working Class,No,322018.37,2016,11,0,7,2016,11,3,10,3 ,
119,0.41,11.0,8.0,815.0,Clay,5.52,21.32,No,No,Yes,Waterways,Yes,Working Class,Yes,239.33,2018,7,3,19,2018,7,6,22,3 ,AR
120,0.45,9.0,5.0,653.0,Bronze,5.6,22.6,Yes,Yes,No,Airways,No,Wealthy,No,406.91,2017,2,3,2,2017,1,0,30,-3 ,IA
121,0.16,20.0,11.0,2797.0,Material_NA,3.03,14.31,Yes,Yes,No,Airways,No,Working Class,No,184.31,2015,12,0,28,2015,12,2,30,2 ,DE
122,0.47,22.0,18.0,18959.0,Brass,111.06,92.24,No,Yes,No,Airways,No,Working Class,No,1394.04,2019,4,0,29,2019,4,6,28,-1 ,ID
123,0.46,12.0,8.0,1448.0,Bronze,9.85,15.31,Yes,No,Yes,Waterways,No,Working Class,No,371.58,2015,1,6,18,2015,1,2,21,3 ,ID
124,0.65,4.0,4.0,78.0,Bronze,4.63,13.77,No,Yes,Yes,Roadways,No,Wealthy,Yes,231.13,2018,4,0,16,2018,4,0,16,0 ,TX
125,0.32,35.0,11.0,491.0,Wood,3.35,15.16,No,No,No,Roadways,No,Wealthy,No,157.6,2016,11,0,7,2016,11,3,10,3 ,WY
126,0.45,13.0,7.0,3130.0,Bronze,6.21,16.02,No,Yes,Yes,Roadways,No,Working Class,No,164.69,2017,10,5,7,2017,10,1,10,3 ,TN
127,0.29,42.0,18.0,14120.0,Clay,12.59,72.17,No,No,No,Roadways,Yes,Working Class,No,655.89,2017,9,3,28,2017,9,5,30,2 ,AZ
128,0.95,44.0,15.0,11196.0,Clay,61.12,57.31,No,No,Yes,Waterways,Yes,Working Class,No,7178.95,2019,3,0,4,2019,3,1,5,1 ,DC
129,0.86,34.0,11.0,1793759.0,Stone,1332.42,25.62,Yes,Yes,Yes,Airways,No,Wealthy,No,84932.99,2017,12,5,23,2017,12,5,23,0 ,AZ
130,0.48,18.0,9.0,837.0,Aluminium,3.12,10.98,Yes,No,Yes,Waterways,No,Working Class,No,182.24,2018,5,2,23,2018,5,4,25,2 ,MI
131,0.58,34.0,8.0,463.0,Material_NA,3.78,13.34,Yes,No,No,Roadways,No,Working Class,Yes,297.34,2016,8,3,4,2016,7,6,31,-4 ,NY
132,0.45,5.0,3.0,701.0,Stone,6.7,24.16,Yes,No,No,Airways,No,Working Class,No,253.49,2017,3,0,6,2017,3,2,8,2 ,CT
133,0.62,28.0,7.0,251.0,Wood,3.03,13.03,No,No,Yes,Roadways,No,Wealthy,No,290.28,2016,6,6,26,2016,6,1,28,2 ,SD
134,0.87,26.0,8.0,314113.0,Stone,1846.84,60.7,No,Yes,No,Airways,No,Wealthy,No,8745.47,2018,10,0,22,2018,10,0,22,0 ,MI
135,0.25,19.0,11.0,8648.0,Bronze,17.04,74.41,No,Yes,No,Airways,No,Working Class,No,527.23,2018,2,0,19,2018,2,0,19,0 ,
136,0.21,27.0,10.0,23049.0,Material_NA,16.67,77.67,No,No,Yes,Roadways,No,Working Class,No,730.8,2017,6,1,27,2017,6,5,24,-3 ,ID
137,0.16,29.0,9.0,1374.0,Clay,6.49,21.95,No,No,No,Roadways,Yes,Working Class,No,198.87,2017,1,2,4,2017,1,0,2,-2 ,
138,0.47,11.0,7.0,1318.0,Bronze,4.15,13.13,No,No,No,Roadways,No,Working Class,No,179.33,2017,11,2,22,2017,11,3,23,1 ,
139,0.84,4.0,4.0,43.0,Material_NA,3.39,15.75,No,No,Yes,Roadways,No,Working Class,No,214.77,2015,6,3,25,2015,6,1,23,-2 ,
140,0.55,35.0,18.0,59797.0,Bronze,238.2,87.86,No,No,No,Roadways,No,Working Class,No,1756.36,2017,10,5,28,2017,10,1,31,3 ,KY
141,0.57,7.0,5.0,221082.0,Stone,41.61,28.46,No,No,Yes,Roadways,No,Working Class,No,537.6,2017,10,6,1,2017,10,1,3,2 ,CA
142,0.54,35.0,8.0,278714.0,Marble,378.41,92.17,Yes,No,Yes,Roadways,No,Working Class,No,3673.54,2015,10,1,20,2015,10,1,20,0 ,NE
143,0.1,7.0,5.0,2666.0,Material_NA,5.12,14.13,Yes,Yes,No,Roadways,No,Wealthy,No,226.23,2019,6,4,7,2019,6,4,7,0 ,MO
144,0.34,8.0,8.0,5153.0,Material_NA,8.92,97.79,Yes,No,No,Waterways,No,Working Class,No,648.1,2017,3,0,6,2017,3,1,7,1 ,HI
145,0.33,28.0,8.0,1374.0,Clay,8.71,24.06,No,Yes,No,Roadways,Yes,Working Class,No,357.42,2019,2,1,19,2019,2,4,15,-4 ,
146,0.25,14.0,7.0,5648.0,Brass,10.24,79.85,Yes,No,No,Waterways,No,Working Class,No,480.86,2018,11,5,10,2018,11,6,11,1 ,SD
147,0.35,32.0,20.0,91529.0,Brass,456.3,99.59,Yes,No,Yes,Waterways,No,Working Class,No,2166.06,2017,7,4,21,2017,7,6,23,2 ,MN
148,0.65,31.0,12.0,4475.0,Clay,27.1,24.77,No,No,No,Roadways,Yes,Working Class,No,569.38,2017,3,6,5,2017,3,1,7,2 ,HI
149,0.45,30.0,8.0,10547.0,Bronze,38.22,33.93,Yes,No,No,Roadways,No,Working Class,No,579.35,2016,7,0,11,2016,7,3,7,-4 ,KY
150,0.22,16.0,7.0,3330.0,Brass,11.22,20.81,Yes,No,No,Waterways,No,Working Class,Yes,205.17,2016,12,4,9,2016,12,5,10,1 ,MA
151,0.58,15.0,6.0,44125.0,Stone,86.41,88.26,No,Yes,No,Roadways,No,Working Class,No,3280.77,2015,6,6,7,2015,6,2,3,-4 ,IL
152,0.28,3.0,3.0,221082.0,Stone,6.08,13.82,No,Yes,Yes,Roadways,No,Working Class,No,223.93,2017,10,2,11,2017,10,1,10,-1 ,OH
153,0.74,19.0,7.0,929.0,Material_NA,9.38,10.47,No,No,No,Roadways,Yes,Working Class,No,941.39,2018,9,3,13,2018,9,5,15,2 ,MT
154,0.45,3.0,2.0,85.0,Marble,5.64,14.19,No,Yes,No,Airways,No,Working Class,No,256.53,2017,12,0,4,2017,12,3,7,3 ,ID
155,0.74,23.0,7.0,1404.0,Clay,5.49,17.91,No,No,No,Roadways,Yes,Working Class,No,476.36,2016,8,2,31,2016,8,6,28,-3 ,AL
156,0.37,23.0,10.0,444173.0,Stone,2359.05,65.95,No,No,Yes,Roadways,No,Working Class,No,6102.69,2016,6,5,18,2016,6,1,14,-4 ,GA
157,0.13,31.0,12.0,338703.0,Marble,179.03,25.76,No,No,No,Roadways,No,Working Class,No,655.22,2015,3,3,19,2015,3,6,15,-4 ,NV
158,0.27,14.0,6.0,335.0,Aluminium,4.15,21.65,No,No,No,Roadways,No,Working Class,No,177.7,2018,6,3,21,2018,6,1,19,-2 ,ME
159,0.45,36.0,15.0,110410.0,Brass,188.57,33.45,Yes,No,No,Waterways,No,Working Class,No,651.66,2015,9,5,12,2015,9,1,15,3 ,DE
160,0.43,4.0,3.0,32.0,Aluminium,4.16,22.2,No,No,No,Roadways,No,Working Class,Yes,161.78,2017,9,2,6,2017,9,6,10,4 ,MA
161,0.45,20.0,6.0,182.0,Material_NA,4.01,16.92,No,No,Yes,Roadways,No,Working Class,No,115.86,2016,1,6,3,2016,1,0,4,1 ,SD
162,0.17,14.0,6.0,393.0,Aluminium,6.33,22.54,No,Yes,No,Airways,No,Working Class,No,174.99,2018,8,4,17,2018,8,2,15,-2 ,
163,0.5,30.0,20.0,870.0,Wood,6.41,16.11,Yes,Yes,Yes,Airways,No,Wealthy,No,475.08,2017,8,2,2,2017,7,0,31,-2 ,
