"","X","Artist.Reputation","Height","Width","Weight","Material","Price.Of.Sculpture","Base.Shipping.Price","International","Express.Shipment","Installation.Included","Transport","Fragile","Customer.Information","Remote.Location","Cost","scheduled_year","scheduled_month","scheduled_day","scheduled_dateofmonth","delivery_year","delivery_month","delivery_day","delivery_dateofmonth","delta","state","Cost_Numeric"
"43",4303,0.24,20,8,1697,"Brass",4.14,12.77,"No","No","No","Roadways","No","Working Class","No","Very-Low",2016,12,3,8,2016,12,3,8,0,"WI",160.9
"44",1924,0.13,23,13,1648,"Aluminium",3.44,19.28,"No","No","No","Roadways","No","Wealthy","No","Very-Low",2016,8,1,16,2016,8,1,16,0,"ND",158.12
"45",4480,0.45,14,7,197,"Wood",6.61,24,"No","No","Yes","Waterways","No","Working Class","No","Very-Low",2018,8,6,12,2018,8,2,15,3,"TN",148.24
"46",4668,0.08,24,20,637,"Wood",5.23,12.64,"Yes","Yes","Yes","Airways","No","Working Class","No","Very-Low",2017,3,0,20,2017,3,4,17,-3,"WA",161.28
"47",2174,0.45,21,8,3232,"Material_NA",3.19,15,"No","No","No","Airways","No","Wealthy","No","Very-Low",2018,5,0,21,2018,5,1,22,1,"HI",171.86
"48",5147,0.24,7,4,8066,"Brass",3.81,11.1,"No","No","No","Waterways","No","Wealthy","No","Very-Low",2015,6,5,13,2015,6,5,13,0,"NH",145.01
"49",4832,0.02,17,8,1057,"Clay",3.25,16.29,"Yes","No","Yes","Waterways","Yes","Working Class","No","Very-Low",2017,8,6,13,2017,8,1,15,2,"FL",139.52
"50",4866,0.07,9,5,134,"Aluminium",3.52,19.3,"Yes","No","Yes","Waterways","No","Working Class","No","Very-Low",2017,12,4,1,2017,12,4,1,0,"SC",140.11
"51",210,0.12,23,6,128,"Material_NA",6.45,23.83,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2018,12,2,26,2018,12,0,24,-2,"AZ",172.25
"52",4793,0.22,15,7,578,"Aluminium",4.95,14.71,"No","Yes","No","Roadways","No","Wealthy","No","Very-Low",2015,8,3,27,2015,8,5,29,2,"TX",158.31
"53",3598,0.45,11,6,71,"Material_NA",4.66,14.33,"No","Yes","No","Airways","No","Working Class","No","Very-Low",2016,2,6,7,2016,2,4,5,-2,"",142.2
"54",46,0.07,9,4,74,"Clay",6.77,11.75,"No","No","Yes","Roadways","Yes","Working Class","Yes","Very-Low",2015,4,3,2,2015,3,1,31,-2,"ID",137.87
"55",4808,0.3,15,8,251,"Wood",5.48,11.61,"Yes","No","Yes","Waterways","No","Working Class","Yes","Very-Low",2018,7,3,12,2018,7,0,9,-3,"WY",171.18
"56",5862,0.14,10,4,146,"Clay",6.85,23.25,"No","No","No","Roadways","Yes","Working Class","No","Very-Low",2016,10,0,31,2016,10,0,31,0,"SD",162.96
"57",73,0.22,8,4,788,"Brass",4.22,24.47,"No","No","No","Roadways","No","Working Class","No","Very-Low",2016,3,0,14,2016,3,2,16,2,"NH",179.2
"58",4917,0.04,18,9,538,"Aluminium",3.66,11.86,"No","Yes","No","Airways","No","Working Class","No","Very-Low",2019,3,2,13,2019,3,1,12,-1,"FL",111.11
"59",4812,0.25,9,5,675,"Bronze",5.86,22.29,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2015,7,2,1,2015,7,6,5,4,"IA",179.23
"60",3231,0.31,4,8,60,"Clay",3.66,13.46,"No","No","Yes","Roadways","Yes","Working Class","No","Very-Low",2015,6,0,15,2015,6,4,12,-3,"NV",143.48
"61",5950,0.09,27,10,349,"Wood",3.31,20.73,"No","No","Yes","Roadways","No","Working Class","Yes","Very-Low",2015,6,2,3,2015,6,2,3,0,"MD",154.57
"62",2736,0.5,19,6,83,"Wood",5.85,12.13,"No","No","No","Roadways","No","Working Class","No","Very-Low",2018,7,5,14,2018,7,6,15,1,"MD",167.72
"63",759,0.39,3,2,11,"Wood",4.17,20.71,"No","No","No","Roadways","No","Working Class","Yes","Very-Low",2018,2,6,18,2018,2,3,15,-3,"NC",163.68
"64",6341,0.08,6,4,71,"Aluminium",6.13,18.43,"Yes","No","No","Roadways","No","Working Class","Yes","Very-Low",2018,4,0,30,2018,4,0,30,0,"",159.29
"65",3884,0.08,4,8,39,"Clay",5.47,21.85,"No","No","No","Roadways","Yes","Working Class","No","Very-Low",2015,7,1,21,2015,7,2,22,1,"AK",139.12
"66",1491,0.45,9,4,64,"Wood",3.4,10.44,"Yes","No","No","Roadways","No","Working Class","No","Very-Low",2017,4,6,9,2017,4,3,13,4,"OK",143.36
"67",2130,0.45,33,13,476,"Wood",3.08,14.37,"No","Yes","Yes","Airways","No","Working Class","Yes","Very-Low",2016,5,1,3,2016,4,5,30,-3,"TX",188.73
"68",3367,0.15,13,7,591,"Material_NA",4.58,15.11,"Yes","No","No","Waterways","Yes","Wealthy","No","Very-Low",2015,9,3,10,2015,9,3,10,0,"AL",153.84
"69",2456,0.41,14,8,476,"Aluminium",3.33,11.53,"No","No","Yes","Waterways","No","Working Class","No","Very-Low",2018,7,5,14,2018,7,2,11,-3,"VT",171.03
"70",4417,0.11,10,8,420,"Bronze",4.79,20.58,"No","No","Yes","Waterways","No","Wealthy","No","Very-Low",2017,6,3,8,2017,6,2,7,-1,"DE",185.32
"71",5972,0.19,20,8,574,"Aluminium",4.07,21.04,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2016,11,2,30,2016,11,6,27,-3,"MO",188.51
"72",1354,0.45,22,11,1131,"Aluminium",3.15,19.6,"No","Yes","No","Roadways","No","Working Class","No","Very-Low",2018,12,1,4,2018,12,1,4,0,"GA",166.15
"73",2787,0.11,10,8,54,"Aluminium",4.15,12.77,"No","No","Yes","Airways","No","Working Class","Yes","Very-Low",2018,1,1,30,2018,1,2,31,1,"SC",119.3
"74",2645,0.45,7,5,90,"Aluminium",3.97,19.59,"No","No","No","Roadways","No","Working Class","No","Very-Low",2019,8,3,8,2019,8,6,4,-4,"DE",139.87
"75",5460,0.14,22,8,3387,"Bronze",5.84,12.19,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2016,12,5,31,2017,1,1,3,3,"NC",131.88
"76",5848,0.36,8,8,53,"Wood",5.6,19.82,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2016,10,5,22,2016,10,6,23,1,"KS",171.22
"77",5380,0.02,3,2,18,"Brass",4.52,21.71,"Yes","Yes","No","Airways","No","Working Class","Yes","Very-Low",2018,8,2,22,2018,8,4,24,2,"LA",167.94
"78",1185,0.14,9,4,2921,"Marble",9.33,11.97,"No","No","No","Airways","No","Working Class","No","Very-Low",2016,7,6,10,2016,7,3,14,4,"VA",165.65
"79",3708,0.08,18,7,3521,"Bronze",5.46,10.3,"No","No","No","Roadways","No","Working Class","No","Very-Low",2015,3,2,4,2015,3,1,3,-1,"AL",127.88
"80",1708,0.24,10,8,295,"Clay",5.86,10.19,"No","No","No","Roadways","Yes","Working Class","No","Very-Low",2017,7,2,26,2017,7,2,26,0,"ND",123.65
"81",5691,0.19,21,8,1530,"Clay",5.57,18.8,"No","No","No","Airways","Yes","Working Class","No","Very-Low",2015,1,5,17,2015,1,4,16,-1,"KS",183.6
"82",689,0.45,15,6,200,"Wood",6.66,11.58,"No","Yes","Yes","Roadways","No","Working Class","No","Very-Low",2016,6,1,7,2016,6,3,9,2,"FL",125.68
"83",3344,0.45,4,3,34,"Aluminium",4.77,10.12,"No","No","No","Airways","No","Working Class","No","Very-Low",2015,6,6,28,2015,6,5,27,-1,"",122.99
"84",4290,0.3,4,4,20,"Wood",5.19,22.58,"No","No","Yes","Waterways","No","Working Class","No","Very-Low",2017,1,6,15,2017,1,5,14,-1,"SD",166.04
"85",4073,0.3,24,8,384,"Wood",4.77,11.71,"No","Yes","No","Roadways","No","Wealthy","Yes","Very-Low",2015,8,3,13,2015,8,3,13,0,"SD",160.63
"86",3892,0.13,33,19,808,"Wood",3.78,24.5,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2018,5,2,30,2018,5,1,29,-1,"ND",188.41
"87",1739,0.42,10,4,79,"Wood",3.64,16.57,"Yes","Yes","Yes","Airways","No","Wealthy","No","Very-Low",2019,4,3,18,2019,4,5,20,2,"CA",190.06
"88",4463,0.45,7,4,102,"Aluminium",5.74,12.53,"No","No","Yes","Airways","No","Working Class","No","Very-Low",2017,12,4,29,2018,1,0,1,3,"CT",128.33
"89",4314,0.48,14,8,3232,"Material_NA",3.71,13.73,"Yes","Yes","No","Airways","No","Working Class","Yes","Very-Low",2017,5,5,13,2017,5,1,16,3,"AR",182.55
"90",6051,0.22,6,4,26,"Wood",4.89,17.37,"No","Yes","No","Roadways","No","Wealthy","No","Very-Low",2019,5,3,30,2019,5,0,27,-3,"WY",149.05
"91",6066,0.16,12,8,676,"Clay",6.41,17.11,"Yes","No","No","Waterways","Yes","Working Class","No","Very-Low",2016,2,2,3,2016,2,4,5,2,"CO",147.2
"92",2269,0.29,20,10,220,"Wood",5.9,18.93,"Yes","No","No","Waterways","No","Working Class","Yes","Very-Low",2016,3,4,11,2016,3,5,12,1,"",177.52
"93",3519,0.36,5,4,251,"Bronze",6.88,13.68,"Yes","No","No","Airways","No","Working Class","Yes","Very-Low",2015,2,6,22,2015,2,1,24,2,"",181.07
"94",825,0.08,4,3,118,"Marble",6.15,12.69,"No","Yes","No","Roadways","No","Wealthy","No","Very-Low",2015,5,1,5,2015,5,4,8,3,"DC",169.63
"95",1976,0.18,10,4,184,"Material_NA",4.38,14.27,"No","No","No","Roadways","No","Wealthy","No","Very-Low",2015,1,4,2,2015,1,4,2,0,"MN",151.16
"96",3780,0.12,13,6,1103,"Brass",5.2,14.79,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2015,2,2,18,2015,2,5,21,3,"WY",148.52
"97",1742,0.03,35,20,3232,"Material_NA",13.46,13.49,"Yes","No","No","Roadways","No","Working Class","No","Very-Low",2016,8,0,15,2016,8,0,15,0,"MS",146.25
"98",2131,0.06,38,7,220,"Wood",3.89,20.79,"No","Yes","Yes","Airways","No","Wealthy","No","Very-Low",2016,1,5,30,2016,1,1,26,-4,"DC",178.8
"99",3668,0.16,17,10,804,"Aluminium",5.97,14.41,"No","No","No","Waterways","No","Working Class","No","Very-Low",2017,10,2,18,2017,10,6,22,4,"UT",113.07
"100",4563,0.2,21,7,481,"Aluminium",6.94,17.75,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2019,7,0,8,2019,7,6,7,-1,"SD",173.16
"101",3628,0.22,13,8,3163,"Bronze",11.41,11.28,"No","No","No","Airways","No","Working Class","No","Very-Low",2018,6,3,14,2018,6,0,18,4,"NV",146.64
"102",4166,0.16,6,4,2118,"Marble",6.79,11.49,"Yes","No","No","Waterways","No","Working Class","Yes","Very-Low",2015,9,3,17,2015,9,3,17,0,"FL",186.27
"103",3992,0.18,8,4,410,"Bronze",5.17,10.94,"Yes","Yes","No","Airways","No","Working Class","No","Very-Low",2016,12,4,2,2016,12,3,1,-1,"OR",153.33
"104",4536,0.06,20,4,411,"Brass",4.26,19.16,"Yes","No","Yes","Airways","No","Working Class","No","Very-Low",2019,5,6,19,2019,5,6,19,0,"AL",176.82
"105",4122,0.36,9,5,256,"Clay",5.98,18.93,"No","No","Yes","Airways","Yes","Working Class","No","Very-Low",2019,7,4,26,2019,7,6,28,2,"IN",189.28
"106",6113,0.44,15,7,838,"Clay",3.12,11.96,"Yes","No","No","Waterways","Yes","Working Class","No","Very-Low",2018,8,1,14,2018,8,2,15,1,"TX",163.83
"107",5747,0.18,19,6,299,"Clay",5.79,10.88,"No","No","No","Roadways","Yes","Working Class","No","Very-Low",2018,4,2,25,2018,4,5,21,-4,"AL",137.98
"108",1493,0.18,22,6,476,"Aluminium",5.45,14.58,"No","No","No","Roadways","No","Working Class","No","Very-Low",2015,1,1,13,2015,1,1,13,0,"PA",131.05
"109",4784,0.1,30,17,1233,"Wood",6.05,17.3,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2017,3,6,26,2017,3,3,30,4,"IL",135.43
"110",5583,0.21,21,6,63,"Wood",5.86,16.99,"No","Yes","No","Roadways","No","Working Class","No","Very-Low",2017,12,6,3,2017,12,4,1,-2,"MI",144.54
"111",5005,0.37,3,2,45,"Brass",5.82,14.6,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2015,11,1,10,2015,11,5,14,4,"ND",145.87
"112",1440,0.56,15,8,466,"Material_NA",4.96,11.57,"No","No","No","Roadways","No","Working Class","No","Very-Low",2018,11,3,29,2018,11,6,25,-4,"WV",192.89
"113",5653,0.26,15,6,2962,"Brass",5.92,19.07,"No","No","No","Waterways","No","Working Class","No","Very-Low",2015,7,0,20,2015,7,3,23,3,"MA",173.46
"114",2001,0.18,38,23,4641,"Aluminium",6.07,14.75,"No","Yes","No","Airways","No","Working Class","No","Very-Low",2017,3,1,21,2017,3,3,23,2,"OH",199.35
"115",2364,0.41,3,2,144,"Stone",4.84,14.67,"No","No","No","Airways","No","Working Class","No","Very-Low",2017,6,1,20,2017,6,3,22,2,"DE",188.14
"116",2417,0.04,13,8,329,"Clay",3.44,13.92,"No","No","No","Roadways","Yes","Working Class","Yes","Very-Low",2016,5,6,15,2016,5,2,11,-4,"FL",139.11
"117",3614,0.09,19,10,2649,"Clay",5.1,19.08,"No","No","No","Roadways","Yes","Working Class","Yes","Very-Low",2018,9,6,30,2018,9,4,28,-2,"MS",178.42
"118",2320,0.02,33,15,1126,"Aluminium",4.96,19.06,"No","Yes","Yes","Roadways","No","Wealthy","No","Very-Low",2016,12,3,22,2016,12,5,24,2,"OH",161.43
"119",869,0.02,21,6,1506,"Clay",3.38,12.65,"No","No","No","Airways","Yes","Working Class","No","Very-Low",2015,1,4,30,2015,2,6,1,2,"OR",117.08
"120",3282,0.02,55,12,1471,"Wood",5.01,14.55,"Yes","No","No","Waterways","No","Wealthy","No","Very-Low",2016,4,2,27,2016,4,5,23,-4,"PA",130.21
"121",5115,0.25,39,15,1079,"Aluminium",6.68,14.86,"No","No","No","Roadways","No","Working Class","No","Very-Low",2019,5,3,9,2019,5,1,7,-2,"ND",166.71
"122",6220,0.51,19,8,622,"Aluminium",3.63,10.06,"Yes","No","No","Airways","No","Working Class","No","Very-Low",2018,5,5,12,2018,5,0,14,2,"KS",163.48
"123",557,0.14,35,15,773,"Wood",3.4,14.3,"No","Yes","Yes","Airways","No","Working Class","No","Very-Low",2017,4,3,27,2017,4,2,26,-1,"AR",157.32
"124",1,0.28,3,3,61,"Brass",6.83,15,"No","No","No","Roadways","No","Working Class","No","Very-Low",2017,3,0,6,2017,3,6,5,-1,"WY",159.96
"125",5978,0.13,20,7,210,"Wood",5.29,13.79,"No","No","No","Waterways","No","Wealthy","No","Very-Low",2018,5,5,12,2018,5,5,12,0,"NC",119.96
"126",4104,0.39,5,4,343,"Brass",4.87,19.53,"Yes","No","Yes","Waterways","No","Working Class","No","Very-Low",2016,1,6,17,2016,1,2,20,3,"VA",190.95
"127",2315,0.32,12,7,107,"Wood",3.24,14.05,"Yes","No","Yes","Waterways","No","Working Class","No","Very-Low",2016,6,4,24,2016,6,4,24,0,"WI",148.2
"128",1683,0.12,7,5,5982.5,"Bronze",6.39,22.09,"No","No","Yes","Roadways","No","Wealthy","No","Very-Low",2019,4,3,25,2019,4,5,27,2,"",182.29
"129",2003,0.27,24,8,1074,"Clay",5.03,15.09,"No","No","No","Roadways","Yes","Working Class","No","Very-Low",2016,10,0,17,2016,10,0,17,0,"TX",170.19
"130",491,0.08,32,17,838,"Material_NA",4.25,12.55,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2017,7,6,16,2017,7,0,17,1,"FL",103.86
"131",2249,0.3,3,3,147,"Marble",5.55,13.13,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2016,11,2,9,2016,11,2,9,0,"RI",187.58
"132",4604,0.2,21,8,234,"Material_NA",3.98,17.05,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2017,9,6,10,2017,9,2,6,-4,"CO",169.96
"133",6015,0.21,13,8,169,"Wood",6.1,11.77,"No","Yes","No","Airways","No","Working Class","No","Very-Low",2016,2,0,15,2016,2,3,11,-4,"KS",134.14
"134",4629,0.22,34,14,734,"Wood",5.66,14.83,"No","No","No","Roadways","No","Working Class","No","Very-Low",2017,2,4,17,2017,2,3,16,-1,"",143.29
"135",2859,0.22,6,8,30,"Wood",5.49,11.32,"No","No","No","Roadways","No","Working Class","No","Very-Low",2017,1,6,15,2017,1,2,18,3,"ND",96.59
"136",5283,0.28,10,8,125,"Aluminium",6.87,17.01,"Yes","No","Yes","Waterways","No","Wealthy","No","Very-Low",2015,7,0,20,2015,7,0,20,0,"GA",188.18
"137",602,0.66,4,4,51,"Aluminium",4.19,11.64,"No","No","No","Roadways","No","Working Class","Yes","Very-Low",2017,2,6,5,2017,2,6,5,0,"HI",159.46
"138",2017,0.35,3,2,251,"Wood",4.41,23.83,"Yes","No","Yes","Airways","No","Working Class","Yes","Very-Low",2017,7,5,29,2017,8,2,2,4,"KS",162.95
"139",4532,0.14,24,7,251,"Wood",3.22,10.9,"Yes","Yes","No","Roadways","No","Working Class","No","Very-Low",2017,9,6,3,2017,8,2,30,-4,"AK",127.98
"140",3065,0.17,12,8,145,"Material_NA",6.23,21.87,"Yes","No","No","Airways","No","Working Class","Yes","Very-Low",2015,5,5,16,2015,5,1,19,3,"KY",161.67
"141",230,0,6,4,79,"Aluminium",3.8,18.51,"No","Yes","No","Airways","No","Wealthy","Yes","Very-Low",2016,12,1,27,2016,12,5,24,-3,"WV",149.96
"142",2581,0.45,9,4,80,"Material_NA",3.96,18.87,"No","No","No","Roadways","No","Working Class","No","Very-Low",2019,3,5,2,2019,3,1,5,3,"IL",129.86
"143",1634,0.2,12,7,406,"Aluminium",6.38,11.63,"No","No","Yes","Roadways","No","Working Class","Yes","Very-Low",2015,6,1,2,2015,6,0,1,-1,"DC",148.28
"144",3201,0.05,6,8,1311,"Marble",3.51,10.52,"No","No","No","Roadways","No","Working Class","No","Very-Low",2016,9,2,28,2016,9,4,30,2,"",145.3
"145",4895,0.02,8,4,426,"Bronze",6.58,17.07,"No","No","Yes","Airways","No","Working Class","No","Very-Low",2016,3,2,2,2016,2,6,28,-3,"MI",157.54
"146",1203,0.35,4,4,54,"Clay",3.63,10.06,"No","No","No","Roadways","Yes","Working Class","Yes","Very-Low",2017,6,6,25,2017,6,6,25,0,"CT",120.62
"147",6031,0.13,13,7,89,"Wood",3.48,17.79,"Yes","No","No","Waterways","No","Working Class","Yes","Very-Low",2015,10,4,2,2015,9,1,29,-3,"OR",145.42
"148",2459,0.06,28,15,2547,"Aluminium",8.1,20.34,"No","No","No","Roadways","No","Working Class","No","Very-Low",2015,12,1,29,2015,12,1,29,0,"MN",144.64
"149",3315,0.2,12,7,398,"Clay",5.3,13.39,"Yes","No","Yes","Roadways","Yes","Working Class","No","Very-Low",2017,1,0,9,2017,1,0,9,0,"AL",182.96
"150",6276,0.13,17,6,90,"Wood",4.86,19.99,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2017,12,3,28,2018,1,0,1,4,"",123.07
"151",4285,0.02,24,6,222,"Wood",4.7,15.8,"No","No","No","Roadways","No","Working Class","No","Very-Low",2017,3,4,31,2017,3,3,30,-1,"IL",106.78
"152",1615,0.33,11,7,88,"Wood",4,19.9,"No","Yes","No","Airways","No","Working Class","No","Very-Low",2018,5,1,15,2018,5,1,15,0,"NJ",166.87
"153",1746,0.36,3,2,32,"Bronze",6.13,11.74,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2018,1,3,4,2018,1,2,3,-1,"NC",156.78
"154",3378,0.5,12,8,378,"Clay",3.33,10.9,"No","No","Yes","Roadways","Yes","Working Class","No","Very-Low",2018,5,1,1,2018,5,1,1,0,"SD",184.25
"155",1696,0.31,20,4,237,"Bronze",3.52,24.94,"No","Yes","No","Airways","No","Working Class","No","Very-Low",2016,2,5,13,2016,2,1,16,3,"MO",180.14
"156",4916,0.16,9,8,73,"Wood",5.63,13.46,"No","No","No","Roadways","No","Wealthy","Yes","Very-Low",2015,12,1,29,2015,12,1,29,0,"WA",125.5
